,epoch,preds,mode
0,1,-2.287088,valid
1,1,-1.6792909,valid
2,1,-2.009184,valid
3,1,-1.4346268,valid
4,1,-1.9226034,valid
5,1,-1.8161936,valid
6,1,-1.528857,valid
7,1,-2.4335194,valid
8,1,-0.6512665,valid
9,1,-1.6036097,valid
10,1,-2.192305,valid
11,1,-3.2674918,valid
12,1,-2.7326603,valid
13,1,-3.4379287,valid
14,1,-1.539915,valid
15,1,-3.1292658,valid
16,1,-2.6568236,valid
17,1,1.0521114,valid
18,1,-1.7173823,valid
19,1,-3.2918262,valid
20,1,0.98932266,valid
21,1,0.65292686,valid
22,1,-4.2112036,valid
23,1,-1.2128352,valid
24,1,-1.2379075,valid
25,1,-1.0555493,valid
26,1,-2.265688,valid
27,1,-0.77163905,valid
28,1,-1.13382,valid
29,1,-0.9205466,valid
30,1,-0.1331364,valid
31,1,-0.41838226,valid
32,1,-2.6746163,valid
33,1,-0.55314296,valid
34,1,-2.5833583,valid
35,1,-3.9575973,valid
36,1,-0.5907699,valid
37,1,-2.2771206,valid
38,1,-3.0407166,valid
39,1,-0.572476,valid
40,1,-3.6852689,valid
41,1,-1.4923645,valid
42,1,-6.0723095,valid
43,1,0.84216213,valid
44,1,-4.249793,valid
45,1,-3.331893,valid
46,1,-1.7910334,valid
47,1,1.0023359,valid
48,1,-2.6568236,valid
49,1,-5.6849327,valid
50,1,-2.9727702,valid
51,1,-1.4942166,valid
52,1,-0.77690613,valid
53,1,-0.76718986,valid
54,1,-2.7519073,valid
55,1,-4.974676,valid
56,1,-2.2411752,valid
57,1,-2.3774881,valid
58,1,0.7382868,valid
59,1,-1.0980939,valid
60,1,-1.1929682,valid
61,1,-4.559101,valid
62,1,-2.8047733,valid
63,1,-2.0594897,valid
64,1,-1.9122899,valid
65,1,-2.3300729,valid
66,1,-4.004461,valid
67,1,-2.7958736,valid
68,1,-1.7447186,valid
69,1,-1.112049,valid
70,1,-0.72997695,valid
71,1,-1.9867494,valid
72,1,-1.9989009,valid
73,1,0.31564552,valid
74,1,-1.4513779,valid
75,1,-0.24626145,valid
76,1,-2.2310166,valid
77,1,-0.30049512,valid
78,1,-3.5584002,valid
79,1,-2.7870727,valid
80,1,-2.03055,valid
81,1,-0.8203223,valid
82,1,-3.1905727,valid
83,1,-3.6219053,valid
84,1,-2.6409864,valid
85,1,-1.1008852,valid
86,1,-4.7067366,valid
87,1,-0.89338195,valid
88,1,-1.0607487,valid
89,1,-1.4018625,valid
90,1,-2.088634,valid
91,1,-2.19726,valid
92,1,-1.9248223,valid
93,1,-2.5437307,valid
94,1,-0.648008,valid
95,1,-1.0457075,valid
96,1,-4.175432,valid
97,1,-2.0734987,valid
98,1,-0.043237083,valid
99,1,-2.1061292,valid
100,1,0.9685995,valid
101,1,-0.57283753,valid
102,1,-3.2865791,valid
103,1,-2.2747412,valid
104,1,-4.0138607,valid
105,1,-3.0798478,valid
106,1,-3.6054444,valid
107,1,-0.7968698,valid
108,1,-1.682041,valid
109,1,-6.18498,valid
110,1,-1.5818871,valid
111,1,-2.2787228,valid
112,1,6.7334332,valid
113,1,-3.2992172,valid
114,1,-3.1948795,valid
115,1,-2.344893,valid
116,1,-2.7275977,valid
117,1,-1.8099649,valid
118,1,0.37093008,valid
119,1,0.7006959,valid
120,1,-0.25602105,valid
121,1,-1.5389984,valid
122,1,1.135509,valid
123,1,-5.962905,valid
124,1,-3.6350636,valid
125,1,0.3402524,valid
126,1,-2.5500913,valid
127,1,-1.699624,valid
128,1,-2.8310633,valid
129,1,0.03530722,valid
130,1,-0.53102404,valid
131,1,-3.3584876,valid
132,1,-4.643328,valid
133,1,-2.288525,valid
134,1,-1.1619895,valid
135,1,-2.5417318,valid
136,1,1.425453,valid
137,1,-3.432187,valid
138,1,0.24063435,valid
139,1,-1.0461525,valid
140,1,-1.7978567,valid
141,1,-2.9135957,valid
142,1,0.69650745,valid
143,1,-3.492937,valid
144,1,0.030386202,valid
145,1,-0.21448596,valid
146,1,-4.59197,valid
147,1,-3.049354,valid
148,1,-2.8221545,valid
149,1,-1.0764722,valid
150,1,-1.6070038,valid
151,1,-0.8018909,valid
152,1,-3.4283895,valid
153,1,-1.9217398,valid
154,1,-0.17042968,valid
155,1,-1.2248362,valid
156,1,0.5380659,valid
157,1,-0.7168165,valid
158,1,-0.11689575,valid
159,1,-4.775057,valid
160,1,-2.6568236,valid
161,1,-1.0411606,valid
162,1,-1.1398656,valid
163,1,-1.8006871,valid
164,1,0.17181084,valid
165,1,0.33714625,valid
166,1,1.1843387,valid
167,1,-0.705971,valid
168,1,-3.326889,valid
169,1,-3.0161839,valid
170,1,-2.1165957,valid
171,1,-3.0536447,valid
172,1,-3.3775697,valid
173,1,-1.8797312,valid
174,1,-3.2097883,valid
175,1,-2.2479272,valid
176,1,-1.3226802,valid
177,1,-2.3952575,valid
178,1,-3.8170805,valid
179,1,-2.2113137,valid
180,1,-2.421566,valid
181,1,-0.4773366,valid
182,1,-2.5169249,valid
183,1,0.3318575,valid
184,1,6.624648,valid
185,1,-1.254699,valid
186,1,-2.6502724,valid
187,1,-3.3742528,valid
188,1,-1.9000316,valid
189,1,-3.7080379,valid
190,1,-2.598382,valid
191,1,-1.352926,valid
192,1,-5.379866,valid
193,1,-2.8271213,valid
194,1,-4.174269,valid
195,1,0.7210419,valid
196,1,-1.8168668,valid
197,1,-0.25783384,valid
198,1,-1.700737,valid
199,1,-2.1303053,valid
200,1,-2.429349,valid
201,1,-2.755538,valid
202,1,-3.1264048,valid
203,1,1.8448818,valid
204,1,-7.5874963,valid
205,1,-0.5874518,valid
206,1,-2.6082315,valid
207,1,-1.2791761,valid
208,1,-2.8742228,valid
209,1,-2.2598104,valid
210,1,-0.820753,valid
211,1,-1.4062688,valid
212,1,-3.5818534,valid
213,1,-3.7256885,valid
214,1,-3.701354,valid
215,1,-0.09412176,valid
216,1,-2.0541964,valid
217,1,-1.0748097,valid
218,1,-3.3057637,valid
219,1,1.4735161,valid
